company,fiscal_year,revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,diluted_eps,operating_cash_flow_millions,capital_expenditures_millions,cash_and_equivalents_millions,total_debt_millions
Apple,2023,383285,169148,114301,96995,6.13,110543,10959,29965,111088
Apple,2024,391035,180683,123216,93736,6.08,118254,9447,29943,106629
Apple,2025,416161,195201,133050,112010,7.46,111482,12715,35934,98657
Microsoft,2023,211915,146052,88523,72361,9.68,87582,28107,34704,47237
Microsoft,2024,245122,171008,109433,88136,11.80,118548,44477,18315,51630
Microsoft,2025,281724,193893,128528,101832,13.64,136162,64551,30242,43151
NVIDIA,2023,26974,15356,4224,4368,0.17,5641,1833,3389,10953
NVIDIA,2024,60922,44301,32972,29760,1.19,28090,1069,7280,9709
NVIDIA,2025,130497,97858,81453,72880,2.94,64089,3236,8589,8463
